date,銘柄名,コード,業種,TOPIXに占める個別銘柄のウエイト,ニューインデックス区分,code
,ＯＣＨＩ　ＨＬＤＧ,3166,,,,31660
,ＭＥＲＦ,3168,,,,31680
,ミサワ,3169,,,,31690
,ティーライフ,3172,,,,31720
,Ｃｏｍｉｎｉｘ,3173,,,,31730
,ハピネス・アンド・ディ,3174,,,,31740
,エー・ピーＨＬＤＧ,3175,,,,31750
,ありがとうサービス,3177,,,,31770
,チムニー,3178,,,,31780
,買取王国,3181,,,,31810
,ＩＣＤＡ　ＨＬＤＧ,3184,,,,31840
,夢展望,3185,,,,31850
,ミラタップ,3187,,,,31870
,ＡＮＡＰ　ＨＬＤＧ,3189,,,,31890
,ホットマン,3190,,,,31900
,白鳩,3192,,,,31920
,ジェネレーションパス,3195,,,,31950
,技術承継機構,319A,,,,319A0
,ダイトウボウ,3202,,,,32020
,トーア紡コーポレーション,3204,,,,32040
,ダイドーリミテッド,3205,,,,32050
,エスエルディー,3223,,,,32230
,ゼネラル・オイスター,3224,,,,32240
,プロパスト,3236,,,,32360
,イントランス,3237,,,,32370
,セントラル総合開発,3238,,,,32380
,フライヤー,323A,,,,323A0
,ウィル,3241,,,,32410
,アーバネットコーポレーション,3242,,,,32420
,コーセーアールイー,3246,,,,32460
,アールエイジ,3248,,,,32480
,ブッキングリゾート,324A,,,,324A0
,ＴＥＮＴＩＡＬ,325A,,,,325A0
,グランディーズ,3261,,,,32610
,ファンドクリエーショングループ,3266,,,,32660
,ＴＨＥグローバル社,3271,,,,32710
,サンセイランディック,3277,,,,32770
,エストラスト,3280,,,,32800
,トラストＨＬＤＧ,3286,,,,32860
,アズマハウス,3293,,,,32930
,イーグランド,3294,,,,32940
,東武住販,3297,,,,32970
,ムゲンエステート,3299,,,,32990
,アンビション　ＤＸ　ＨＬＤＧ,3300,,,,33000
,日本製麻,3306,,,,33060
,ＴａｌｅｎｔＸ,330A,,,,330A0
,フライングガーデン,3317,,,,33170
,メディックス,331A,,,,331A0
,クロスプラス,3320,,,,33200
,ミタチ産業,3321,,,,33210
,レカム,3323,,,,33230
,ランシステム,3326,,,,33260
,東和フードサービス,3329,,,,33290
,ミーク,332A,,,,332A0
,ビジュアル・プロセッシング・ジ,334A,,,,334A0
,メタプラネット,3350,,,,33500
,バッファロー,3352,,,,33520
,メディカル一光グループ,3353,,,,33530
,クリヤマＨＬＤＧ,3355,,,,33550
,ワイエスフード,3358,,,,33580
,ｃｏｔｔａ,3359,,,,33590
,ミライロ,335A,,,,335A0
,トーエル,3361,,,,33610
,ダイナミックマッププラットフォ,336A,,,,336A0
,フジタコーポレーション,3370,,,,33700
,関門海,3372,,,,33720
,内外テック,3374,,,,33740
,ＺＯＡ,3375,,,,33750
,バイク王＆カンパニー,3377,,,,33770
,コスモ・バイオ,3386,,,,33860
,ＺｅｎｍｕＴｅｃｈ,338A,,,,338A0
,デリカフーズＨＬＤＧ,3392,,,,33920
,スターティアＨＬＤＧ,3393,,,,33930
,フェリシモ,3396,,,,33960
,丸千代山岡家,3399,,,,33990
,プログレス・テクノロジーズ,339A,,,,339A0
,北紡,3409,,,,34090
,ジグザグ,340A,,,,340A0
,ピクスタ,3416,,,,34160
,大木ヘルスケアＨＬＤＧ,3417,,,,34170
,バルニバービ,3418,,,,34180
,トヨコー,341A,,,,341A0
,ケー・エフ・シー,3420,,,,34200
,Ｊ−ＭＡＸ,3422,,,,34220
,エスイー,3423,,,,34230
,アトムリビンテック,3426,,,,34260
,アルファＣｏ,3434,,,,34340
,サンコーテクノ,3435,,,,34350
,特殊電極,3437,,,,34370
,三ツ知,3439,,,,34390
,ＩＡＣＥトラベル,343A,,,,343A0
,日創グループ,3440,,,,34400
,山王,3441,,,,34410
,菊池製作所,3444,,,,34440
,ジェイテックコーポレーション,3446,,,,34460
,信和,3447,,,,34470
,テクノフレックス,3449,,,,34490
,ビーロット,3452,,,,34520
,ファーストブラザーズ,3454,,,,34540
,パルマ,3461,,,,34610
,アグレ都市デザイン,3467,,,,34670
,デュアルタップ,3469,,,,34690
,Ｇ―ＦＡＣＴＯＲＹ,3474,,,,34740
,フォーライフ,3477,,,,34770
,ティーケーピー,3479,,,,34790
,イノベーションＨＬＤＧ,3484,,,,34840
,グローバル・リンク・マネジメン,3486,,,,34860
,フェイスネットワーク,3489,,,,34890
,アズ企画設計,3490,,,,34900
,ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ,3491,,,,34910
,マリオン,3494,,,,34940
,香陵住販,3495,,,,34950
,アズーム,3496,,,,34960
,ＬｅＴｅｃｈ,3497,,,,34970
,ＳＵＭＩＮＯＥ,3501,,,,35010
,デジタルグリッド,350A,,,,350A0
,日本フエルト,3512,,,,35120
,イチカワ,3513,,,,35130
,エコナックＨＬＤＧ,3521,,,,35210
,日東製網,3524,,,,35240
,芦森工業,3526,,,,35260
,アツギ,3529,,,,35290
,ＬＯＩＶＥ,352A,,,,352A0
,アクサスＨＬＤＧ,3536,,,,35360
,昭栄薬品,3537,,,,35370
,ウイルプラスＨＬＤＧ,3538,,,,35380
,歯愛メディカル,3540,,,,35400
,農業総合研究所,3541,,,,35410
,ベガコーポレーション,3542,,,,35420
,サツドラＨＬＤＧ,3544,,,,35440
,スタジオアタオ,3550,,,,35500
,ダイニック,3551,,,,35510
,共和レザー,3553,,,,35530
,リネットジャパングループ,3556,,,,35560
,ユナイテッド＆コレクティブ,3557,,,,35570
,ジェイドグループ,3558,,,,35580
,ピーバンドットコム,3559,,,,35590
,ほぼ日,3560,,,,35600
